"rate","Gender","reservations"
"Early60","0","419"
"FF","0","229"
"Early21","0","105"
"NonRefBARBB","0","28"
"MIN4","0","19"
"Direct","0","18"
"MIN3","0","15"
"Suite","0","10"
"MIN5","0","3"
"FF","1","753"
"Early21","1","165"
"Early60","1","137"
"NonRefBARBB","1","123"
"MIN3","1","47"
"MIN4","1","41"
"Direct","1","16"
"Suite","1","9"
"MIN5","1","4"
"FF","2","169"
"NonRefBARBB","2","66"
"Early21","2","45"
"MIN3","2","23"
"Early60","2","20"
"MIN4","2","14"
"Suite","2","12"
"Direct","2","9"
"MIN5","2","2"
