"rate","region","reservations"
"FF","Australia and New Zealand","13"
"Direct","Australia and New Zealand","4"
"MIN3","Australia and New Zealand","3"
"MIN4","Australia and New Zealand","3"
"NonRefBARBB","Australia and New Zealand","3"
"Early21","Australia and New Zealand","1"
"Early60","Australia and New Zealand","1"
"FF","Central Asia","1"
"FF","Eastern Asia","51"
"Early21","Eastern Asia","23"
"NonRefBARBB","Eastern Asia","11"
"Early60","Eastern Asia","4"
"MIN3","Eastern Asia","4"
"MIN4","Eastern Asia","2"
"MIN5","Eastern Asia","1"
"Suite","Eastern Asia","1"
"FF","Eastern Europe","135"
"NonRefBARBB","Eastern Europe","45"
"Early21","Eastern Europe","14"
"MIN3","Eastern Europe","9"
"Early60","Eastern Europe","7"
"Direct","Eastern Europe","3"
"MIN4","Eastern Europe","3"
"MIN5","Eastern Europe","2"
"Suite","Eastern Europe","2"
"FF","Latin America and the Caribbean","25"
"Early21","Latin America and the Caribbean","6"
"NonRefBARBB","Latin America and the Caribbean","3"
"MIN3","Latin America and the Caribbean","2"
"MIN4","Latin America and the Caribbean","2"
"Direct","Latin America and the Caribbean","1"
"Early60","Latin America and the Caribbean","1"
"FF","Northern America","117"
"NonRefBARBB","Northern America","43"
"Early21","Northern America","42"
"Direct","Northern America","20"
"MIN3","Northern America","17"
"MIN4","Northern America","12"
"Suite","Northern America","9"
"Early60","Northern America","8"
"MIN5","Northern America","2"
"FF","Northern Europe","153"
"Early60","Northern Europe","35"
"Early21","Northern Europe","28"
"NonRefBARBB","Northern Europe","22"
"Suite","Northern Europe","8"
"MIN3","Northern Europe","5"
"MIN4","Northern Europe","4"
"Direct","Northern Europe","3"
"MIN5","Northern Europe","1"
"FF","Polynesia","1"
"FF","South-eastern Asia","15"
"Early60","South-eastern Asia","13"
"Early21","South-eastern Asia","7"
"MIN4","South-eastern Asia","2"
"MIN3","South-eastern Asia","1"
"NonRefBARBB","South-eastern Asia","1"
"FF","Southern Asia","5"
"NonRefBARBB","Southern Asia","4"
"MIN3","Southern Asia","2"
"FF","Southern Europe","38"
"MIN3","Southern Europe","10"
"NonRefBARBB","Southern Europe","9"
"Direct","Southern Europe","6"
"Early60","Southern Europe","5"
"MIN4","Southern Europe","2"
"Early21","Southern Europe","1"
"FF","Sub-Saharan Africa","1"
"FF","Western Asia","51"
"MIN4","Western Asia","11"
"NonRefBARBB","Western Asia","9"
"MIN3","Western Asia","6"
"Early60","Western Asia","5"
"Early21","Western Asia","4"
"Direct","Western Asia","2"
"Suite","Western Asia","1"
"FF","Western Europe","185"
"NonRefBARBB","Western Europe","33"
"Early21","Western Europe","19"
"Early60","Western Europe","19"
"MIN3","Western Europe","11"
"Suite","Western Europe","6"
"Direct","Western Europe","3"
"MIN4","Western Europe","2"
