"month","actual_revenue","%_online_checkin_rate","est_revenue_2x_online_checkins","est_revenue_5x_online_checkins"
"2019-08","136090.68","8.7","138974.04","147624.11"
"2019-09","221672.06","7.1","225386.78","236530.92"
"2019-10","289074.03","10.4","296068.82","317053.19"
"2019-11","123756.43","3.3","124739.72","127689.59"
"2019-12","147906.14","2.9","148951.26","152086.6"
"2020-01","42747.59","0.8","42831.62","43083.7"
"2020-02","24861.68","4.2","25119.51","25892.99"
"2020-03","33260.12","0","33260.12","33260.12"
"2020-04","112314.33","2.4","112967.42","114926.7"
"2020-05","44404.05","3.2","44740.03","45747.96"
"2020-06","20708.04","0","20708.04","20708.04"
"2020-07","12217.56","3.4","12315.02","12607.4"
"2020-08","3611.96","0","3611.96","3611.96"
"2020-09","23055.26","0","23055.26","23055.26"
"2020-10","721.28","0","721.28","721.28"
